Título,Organización,Tipo,Región,País,Fecha límite,Enlace,Afinidad,Prioridad,Estado,Monto estimado (USD),Consultor,Observaciones,Socio vinculado,Votos descarte
CFP-006/26: Call for proposals for the Global Plastics Innovation Program. (UNDP-SLE-00284),UNDP – UNDP-SLE/SIERRA LEONE,Ambos,Global,—,21-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45286,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Adquisición de vehículos para el fortalecimiento institucional del MIDES (UNDP-PAN-00896,2)",UNDP – UNDP-PAN/PANAMA,Ambos,Centroamérica – Panamá,—,21-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44243,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"REMODELING OF MAKERSPACE INNOVATION CENTER AT PLATEAU STATE POLYTECHNIC, BARKIN (UNDP-NGA-01422)",UNDP – UNDP-NGA/NIGERIA,Ambos,Global,—,22-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45175,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
UNDP-IC-2026-108; IC - HRMA Legislative & Policy Advisor (UNDP-PAK-01595),UNDP – UNDP-PAK/PAKISTAN,Individual,Global,—,22-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45093,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
Asesor Técnico en Agroecología – Proyecto PRUDENCIA (UNDP-SLV-00524),PNUD El Salvador,Individual,Centroamérica – El Salvador,—,25-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45447,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
UNDP-SLV-00524 - ASESOR TÉCNICO EN AGROECOLOGÍA PROYECTO PRUDENCIA (UNDP-SLV-00524),UNDP – UNDP-SLV/EL SALVADOR,Ambos,Centroamérica – El Salvador,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45447,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Individual Consultant to Conduct a Legal, Policy and Gender Review of Land Gover (UNDP-SWZ-00231)",UNDP – UNDP-SWZ/SWAZILAND,Individual,Global,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45405,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
RFP for Hands‑On ToT on Value Chain and Export Readiness -MSMEs in Afghanistan (UNDP-AFG-00809),UNDP – UNDP-AFG/AFGHANISTAN,Firma,Global,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45347,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
RFQ UNFPA - Contratação de empresa para serviço de comunicação institucional (UNDP-BRA-01133),UNDP – UNDP-BRA/BRAZIL,Firma,América del Sur – Brasil,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45379,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
"RFP for Hands‑On ToT on Value Chain and Export Readiness -MSMEs in Afghanistan (UNDP-AFG-00809,1)",UNDP – UNDP-AFG/AFGHANISTAN,Firma,Global,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45347,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
"CFP-006/26: Call for proposals for the Global Plastics Innovation Program. (UNDP-SLE-00284,1)",UNDP – UNDP-SLE/SIERRA LEONE,Ambos,Global,—,25-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45286,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
AGRIBUSINESS DEVELOPPEMENT FOR YOUTH EMPOWERMENT IN CENTRAL AFRICA (UNDP-SEN-00583),UNDP – UNDP-SEN/CONGO,Ambos,Global,—,26-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45488,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Qu26/03093 NDA/National Consultant on Agronomy to undertake a Feasibility study (UNDP-MDA-00990),UNDP – UNDP-MDA/MOLDOVA,Ambos,Global,—,26-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45411,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
UNDP-IC-2026-011-Individual Consultant – Climate Change Policy and Documentation (UNDP-IND-00760),UNDP – UNDP-IND/INDIA,Individual,Global,—,26-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45420,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
149_National Consultant on Equanomics Policy Dialogue (UNDP-UKR-01645),UNDP – UNDP-UKR/UKRAINE,Ambos,Global,—,26-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45375,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
151_Consultant on Gender-Responsive Fiscal Policy and Care Economy Reform (UNDP-UKR-01647),UNDP – UNDP-UKR/UKRAINE,Ambos,Global,—,26-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45376,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Project Pipeline and Design Strengthening – Sustainable Food System,UNDP Indonesia,Firma,Asia – Indonesia,—,28-may-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45474,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Project Pipeline and Design Strengthening for Sustainable Food System (UNDP-IDN-00849),UNDP – UNDP-IDN/INDONESIA,Ambos,Global,—,28-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45474,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Elaboración de la Primera Divulgación Financiera Integrada de Sostenibilidad, Cl (UNDP-CRI-00196)",UNDP – UNDP-CRI/COSTA RICA,Ambos,Centroamérica – Costa Rica,—,29-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45568,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
PAZ - Consultoría para fortalecer la Política Pública de Envejecimiento y Vejez (UNDP-COL-03251),UNDP – UNDP-COL/COLOMBIA,Ambos,América del Sur – Colombia,—,29-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45572,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"AGD - Consultoría para fortalecer la Política Pública de Envejecimiento y Vejez (UNDP-COL-03251,1)",UNDP – UNDP-COL/COLOMBIA,Ambos,América del Sur – Colombia,—,29-May-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45572,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Recruitment of specialized Technical Assistance for training and support in e-commerce strategies for entrepreneurs in Luxor and Aswan,CIDEAL Foundation,Ambos,Global,—,2026-05-31,https://reliefweb.int/job/4211904/recruitment-specialized-technical-assistance-training-and-support-e-commerce-strategies-entrepreneurs-luxor-and-aswan,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Mejoramiento del Plan Nacional para el Desarrollo del Cacao y Chocolate 2030,PNUD Perú,Ambos,América del Sur – Perú,—,01-jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45577,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
IC - Revisão do plano de ação nacional da política judiciária para a 1ª infância (UNDP-BRA-01147),UNDP – UNDP-BRA/BRAZIL,Individual,América del Sur – Brasil,—,01-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45639,"ICyT, Productividad y Desarrollo",Alta,Descartada,0.0,—,,,Federico Villareal
RFP: Endline survey of impact evaluation (UNDP-GEO-00429),UNDP – UNDP-GEO/GEORGIA,Firma,Global,—,01-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45370,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
"RFP: Endline survey of impact evaluation (UNDP-GEO-00429,1)",UNDP – UNDP-GEO/GEORGIA,Firma,Global,—,01-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45370,Empresarial,Alta,Descartada,0.0,—,,,Federico Villareal
TRAVAUX DE REALISATION DE PISTES RURALES DANS 4 REGIONS (UNDP-SEN-00578),UNDP – UNDP-SEN/SENEGAL,Ambos,Global,—,02-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45209,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
Innovation Challenge - Social Enterprises - R2 (UNDP-GEO-00424),UNDP – UNDP-GEO/GEORGIA,Ambos,Global,—,02-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45163,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
"Completion Survey for Uplands Rural Development Programme (Phase 1) (UNDP-TUR-00695,1)",UNDP – UNDP-TUR/TURKEY,Ambos,Global,—,03-Jun-2026,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45226,Ambos,Alta,Descartada,0.0,—,,,Federico Villareal
